translation,valence_group,Arousal_mean_rating,Valence_mean_rating,Arousal_median_rating,Valence_median_rating,Arousal_sd_rating,Valence_sd_rating,Arousal_n_rating,Valence_n_rating,new_valence_group,dropped
lábszár,neu,2.953846153846154,4.3076923076923075,2,5,2.124490889239476,1.4133634188863649,65,65,neu,kept
játékvezető,neu,3.707692307692308,5.615384615384615,4,5,2.3764671581669616,1.5581670691503577,65,65,neu,kept
bányász,neu,3.1538461538461537,4.553846153846154,3,5,1.9939813285137697,1.4580677413829368,65,65,neu,kept
csaj,neu,3.4153846153846152,5.2615384615384615,3,5,2.192973920361256,1.8647798385208496,65,65,neu,kept
sor,neu,3.292307692307692,4.292307692307692,2,4,2.4349222069393006,1.486639214418264,65,65,neu,kept
benyomás,neu,4.1692307692307695,5.461538461538462,4,5,2.2048896710580466,1.5317159809030676,65,65,neu,kept
különös,neu,4.723076923076923,5.6923076923076925,5,6,2.4271105011134915,1.7759071354792608,65,65,neu,kept
borjú,neu,2.9076923076923076,5.969230769230769,3,6,1.9899990336294522,1.6390663383580486,65,65,neu,kept
kaptár,neu,3.7846153846153845,4.753846153846154,4,5,2.607035599178618,1.8877133093935474,65,65,neu,kept
menyét,neu,3.292307692307692,4.907692307692308,3,5,2.170275593984818,1.8003738927917594,65,65,neu,kept
alkudozás,neu,4.184615384615385,4.2153846153846155,4,4,2.2071779754665495,1.6152815901212443,65,65,neu,kept
varr,neu,3.169230769230769,5.553846153846154,3,5,2.1547130810245854,2.023539359256829,65,65,neu,kept
kalapács,neu,3.6,4.246153846153846,4,5,2.3571699132646335,1.4580677413829368,65,65,neu,kept
látszat,neu,4.046153846153846,4.230769230769231,4,4,2.3942037378764445,1.5183176418452304,65,65,neu,kept
serdülő,neu,3.6,5.184615384615385,3,5,2.2276669409945464,1.2856456025610694,65,65,neu,kept
