translation,valence_group,Arousal_mean_rating,Valence_mean_rating,Arousal_median_rating,Valence_median_rating,Arousal_sd_rating,Valence_sd_rating,Arousal_n_rating,Valence_n_rating,new_valence_group,dropped
szalmonella,neg,4.7384615384615385,1.7692307692307692,5,1,2.4384736714087865,1.1148042256550974,65,65,neg,kept
heroin,neg,4.123076923076923,2.2615384615384615,5,2,2.4780769529244617,1.8563819235690284,65,65,neg,kept
bénít,neg,4.6,2.2,5,2,2.517439175034821,1.3252358280698573,65,65,neg,kept
házsártos,neg,4.2,2.5384615384615383,5,2,2.3062415311497624,1.4903535976921203,65,65,neg,kept
szmog,neg,4.3076923076923075,2.246153846153846,5,2,2.2425088971609797,1.23782532631286,65,65,neg,kept
megvető,neg,4.4,2.5538461538461537,5,2,2.2416511771459895,1.5814428660124078,65,65,neg,kept
kilakoltatás,neg,5.338461538461538,1.8461538461538463,6,1,2.476621457985424,1.3018108689289465,65,65,neg,kept
lopás,neg,5.24031007751938,2.1538461538461537,6,2,2.426337240183395,1.3891134781642753,129,130,neg,kept
cukorbetegség,neg,4.8,2.1538461538461537,5,2,2.373025495016857,1.3018108689289465,65,65,neg,kept
börtön,neg,5.0236220472440944,1.875968992248062,6,2,2.4639127707230797,1.1110788109000225,127,129,neg,kept
retteg,neg,5.630769230769231,2.076923076923077,6,2,2.4210614328303324,1.2662406503565524,65,65,neg,kept
fogoly,neg,4.7384615384615385,2.3230769230769233,5,2,2.353700033171994,1.3358949751441482,65,65,neg,kept
hálátlan,neg,4.615384615384615,2.4461538461538463,5,2,2.2686195395845057,1.2994081492978018,65,65,neg,kept
sajnálatos,neg,3.753846153846154,2.6307692307692307,4,3,2.076887464082139,1.2446037367525704,65,65,neg,kept
influenza,neg,4.676923076923077,2.0307692307692307,5,2,2.4944168425937523,1.1314983259105873,65,65,neg,kept
